cve_id,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,access_authentication,access_complexity,access_vector,impact_availability,impact_confidentiality,impact_integrity
CVE-2003-0498,10/10/2019 11:17,07/08/2003 04:00,7.2,94, Improper Control of Generation of Code ('Code Injection'),"Cach? Database 5.x installs the /cachesys/csp directory with insecure permissions, which allows local users to execute arbitrary code by adding server-side scripts that are executed with root privileges.",NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
CVE-2003-1480,07/10/2019 16:42,31/12/2003 05:00,4.3,310, Cryptographic Issues,"MySQL 3.20 through 4.1.0 uses a weak algorithm for hashed passwords, which makes it easier for attackers to decrypt the password via brute force methods.",NONE,MEDIUM,NETWORK,NONE,PARTIAL,NONE
CVE-2005-0709,07/10/2019 16:42,02/05/2005 04:00,4.6,94, Improper Control of Generation of Code ('Code Injection'),"MySQL 4.0.23 and earlier, and 4.1.x up to 4.1.10, allows remote authenticated users with INSERT and DELETE privileges to execute arbitrary code by using CREATE FUNCTION to access libc calls, as demonstrated by using strcat, on_exit, and exit.",NONE,LOW,LOCAL,PARTIAL,PARTIAL,PARTIAL
CVE-2004-0836,07/10/2019 16:40,03/11/2004 05:00,10,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,"Buffer overflow in the mysql_real_connect function in MySQL 4.x before 4.0.21, and 3.x before 3.23.49, allows remote DNS servers to cause a denial of service and possibly execute arbitrary code via a DNS response with a large address length (h_length).",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2004-1848,13/08/2019 14:39,31/12/2004 05:00,5,399, Resource Management Errors,"Ipswitch WS_FTP Server 4.0.2 allows remote attackers to cause a denial of service (disk consumption) and bypass file size restrictions via a REST command with a large size argument, followed by a STOR of a smaller file.",NONE,LOW,NETWORK,PARTIAL,NONE,NONE
CVE-2005-1028,16/07/2019 12:20,02/05/2005 04:00,5,200, Information Exposure,"PHP-Nuke 6.x through 7.6 allows remote attackers to obtain sensitive information via a direct request to (1) index.php with the forum_admin parameter set, (2) the Surveys module, or (3) the Your_Account module, which reveals the path in a PHP error message.",NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2003-1582,03/07/2019 17:25,05/02/2010 22:30,2.6,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Microsoft Internet Information Services (IIS) 6.0, when DNS resolution is enabled for client IP addresses, allows remote attackers to inject arbitrary text into log files via an HTTP request in conjunction with a crafted DNS response, as demonstrated by injecting XSS sequences, related to an ""Inverse Lookup Log Corruption (ILLC)"" issue.",NONE,HIGH,NETWORK,NONE,NONE,PARTIAL
CVE-2003-0367,23/05/2019 14:04,02/07/2003 04:00,2.1,20, Improper Input Validation,znew in the gzip package allows local users to overwrite arbitrary files via a symlink attack on temporary files.,NONE,LOW,LOCAL,NONE,NONE,PARTIAL
CVE-2002-2328,30/04/2019 14:27,31/12/2002 05:00,7.1,20, Improper Input Validation,"Active Directory in Windows 2000, when supporting Kerberos V authentication and GSSAPI, allows remote attackers to cause a denial of service (hang) via an LDAP client that sets the page length to zero during a large request.",NONE,MEDIUM,NETWORK,COMPLETE,NONE,NONE
CVE-2002-2401,30/04/2019 14:27,31/12/2002 05:00,3.6,264, Permissions Privileges and Access Controls,"NT Virtual DOS Machine (NTVDM.EXE) in Windows 2000, NT and XP does not verify user execution permissions for 16-bit executable files, which allows local users to bypass the loader and execute arbitrary programs.",NONE,LOW,LOCAL,NONE,PARTIAL,PARTIAL
CVE-2003-0001,30/04/2019 14:27,17/01/2003 05:00,5,200, Information Exposure,"Multiple ethernet Network Interface Card (NIC) device drivers do not pad frames with null bytes, which allows remote attackers to obtain information from previous packets or kernel memory by using malformed packets, as demonstrated by Etherleak.",NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2003-0662,30/04/2019 14:27,17/11/2003 05:00,9.3,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer overflow in Troubleshooter ActiveX Control (Tshoot.ocx) in Microsoft Windows 2000 SP4 and earlier allows remote attackers to execute arbitrary code via an HTML document with a long argument to the RunQuery2 method.,NONE,MEDIUM,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2003-0825,30/04/2019 14:27,03/03/2004 05:00,9.3,20, Improper Input Validation,"The Windows Internet Naming Service (WINS) for Microsoft Windows Server 2003, and possibly Windows NT and Server 2000, does not properly validate the length of certain packets, which allows attackers to cause a denial of service and possibly execute arbitrary code.",NONE,MEDIUM,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2003-1448,30/04/2019 14:27,31/12/2003 05:00,7.8,399, Resource Management Errors,Memory leak in the Windows 2000 kernel allows remote attackers to cause a denial of service (SMB request hang) via a NetBIOS continuation packet.,NONE,LOW,NETWORK,COMPLETE,NONE,NONE
CVE-2005-0050,30/04/2019 14:27,02/05/2005 04:00,10,20, Improper Input Validation,"The License Logging service for Windows NT Server, Windows 2000 Server, and Windows Server 2003 does not properly validate the length of messages, which leads to an ""unchecked buffer"" and allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code, aka the ""License Logging Service Vulnerability.""",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2005-0803,30/04/2019 14:27,02/05/2005 04:00,5,399, Resource Management Errors,"The GetEnhMetaFilePaletteEntries API in GDI32.DLL in Windows 2000 allows remote attackers to cause a denial of service (application crash) via a crafted Enhanced Metafile (EMF) file that causes invalid (1) end, (2) emreof, or (3) palent offsets to be used, aka ""Enhanced Metafile Vulnerability.""",NONE,LOW,NETWORK,PARTIAL,NONE,NONE
CVE-2005-3644,30/04/2019 14:27,17/11/2005 11:02,7.8,399, Resource Management Errors,"PNP_GetDeviceList (upnp_getdevicelist) in UPnP for Microsoft Windows 2000 SP4 and earlier, and possibly Windows XP SP1 and earlier, allows remote attackers to cause a denial of service (memory consumption) via a DCE RPC request that specifies a large output buffer size, a variant of CVE-2006-6296, and a different vulnerability than CVE-2005-2120.",NONE,LOW,NETWORK,COMPLETE,NONE,NONE
CVE-2005-3590,11/04/2019 18:29,10/04/2019 20:29,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,"The getgrouplist function in the GNU C library (glibc) before version 2.3.5, when invoked with a zero argument, writes to the passed pointer even if the specified array size is zero, leading to a buffer overflow and potentially allowing attackers to corrupt memory.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3483,25/03/2019 16:24,03/11/2005 22:02,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer overflow in GO-Global for Windows 3.1.0.3270 and earlier allows remote attackers to execute arbitrary code via a data block that is longer than the specified data block size.,NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2002-0493,25/03/2019 11:29,12/08/2002 04:00,7.5,254, 7PK - Security Features,"Apache Tomcat may be started without proper security settings if errors are encountered while reading the web.xml file, which could allow attackers to bypass intended restrictions.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3164,25/03/2019 11:29,06/10/2005 10:02,2.6,200, Information Exposure,"The AJP connector in Apache Tomcat 4.0.1 through 4.0.6 and 4.1.0 through 4.1.36, as used in Hitachi Cosminexus Application Server and standalone, does not properly handle when a connection is broken before request body data is sent in a POST request, which can lead to an information leak when ""unsuitable request body data"" is used for a different request, possibly related to Java Servlet pages.",NONE,HIGH,NETWORK,NONE,PARTIAL,NONE
CVE-2001-0771,29/11/2018 15:45,18/10/2001 04:00,7.5,264, Permissions Privileges and Access Controls,"Spytech SpyAnywhere 1.50 allows remote attackers to gain administrator access via a single character in the ""loginpass"" field.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-1999-1462,29/11/2018 15:44,31/12/1999 05:00,5,200, Information Exposure,Vulnerability in bb-hist.sh CGI History module in Big Brother 1.09b and 1.09c allows remote attackers to read portions of arbitrary files.,NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2000-0844,30/10/2018 16:26,14/11/2000 05:00,10,264, Permissions Privileges and Access Controls,"Some functions that implement the locale subsystem on Unix do not  properly cleanse user-injected format strings, which allows local attackers to execute arbitrary commands via functions such as gettext and catopen.",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2002-2280,30/10/2018 16:26,31/12/2002 05:00,2.1,16, Configuration,"syslogd on OpenBSD 2.9 through 3.2 does not change the source IP address of syslog packets when the machine's IP addressed is changed without rebooting, e.g. via ifconfig, which can cause incorrect information to be sent to the syslog server.",NONE,LOW,LOCAL,NONE,NONE,PARTIAL
CVE-2003-0567,30/10/2018 16:26,18/08/2003 04:00,7.8,20, Improper Input Validation,"Cisco IOS 11.x and 12.0 through 12.2 allows remote attackers to cause a denial of service (traffic block) by sending a particular sequence of IPv4 packets to an interface on the device, causing the input queue on that interface to be marked as full.",NONE,LOW,NETWORK,COMPLETE,NONE,NONE
CVE-2003-1003,30/10/2018 16:26,05/01/2004 05:00,7.8,20, Improper Input Validation,"Cisco PIX firewall 5.x.x, and 6.3.1 and earlier, allows remote attackers to cause a denial of service (crash and reload) via an SNMPv3 message when snmp-server is set.",NONE,LOW,NETWORK,COMPLETE,NONE,NONE
CVE-2004-1767,30/10/2018 16:26,31/12/2004 05:00,7.2,264, Permissions Privileges and Access Controls,"The kernel in Solaris 2.6, 7, 8, and 9 allows local users to gain privileges by loading arbitrary loadable kernel modules (LKM), possibly involving the modload function.",NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
CVE-2004-2686,30/10/2018 16:26,31/12/2004 05:00,7.2,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"Directory traversal vulnerability in the vfs_getvfssw function in Solaris 2.6, 7, 8, and 9 allows local users to load arbitrary kernel modules via crafted (1) mount or (2) sysfs system calls.  NOTE: this might be the same issue as CVE-2004-1767, but there are insufficient details to be sure.",NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
CVE-2004-2764,30/10/2018 16:26,02/06/2009 10:30,10,264, Permissions Privileges and Access Controls,"Sun SDK and Java Runtime Environment (JRE) 1.4.2 through 1.4.2_04, 1.4.1 through 1.4.1_07, and 1.4.0 through 1.4.0_04 allows untrusted applets and unprivileged servlets to gain privileges and read data from other applets via unspecified vectors related to classes in the XSLT processor, aka ""XML sniffing.""",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-1999-0875,30/10/2018 16:25,11/08/1999 04:00,7.5,16, Configuration,DHCP clients with ICMP Router Discovery Protocol (IRDP) enabled allow remote attackers to modify their default routes.,NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2000-0258,30/10/2018 16:25,12/04/2000 04:00,5,20, Improper Input Validation,"IIS 4.0 and 5.0 allows remote attackers to cause a denial of service by sending many URLs with a large number of escaped characters, aka the ""Myriad Escaped Characters"" Vulnerability.",NONE,LOW,NETWORK,PARTIAL,NONE,NONE
CVE-2000-0649,30/10/2018 16:25,13/07/2000 04:00,2.6,200, Information Exposure,IIS 4.0 allows remote attackers to obtain the internal IP address of the server via an HTTP 1.0 request for a web page which is protected by basic authentication and has no realm defined.,NONE,HIGH,NETWORK,NONE,PARTIAL,NONE
CVE-2001-1582,30/10/2018 16:25,31/12/2001 05:00,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer overflow in the LDAP naming services library (libsldap) in Sun Solaris 8 allows local users to execute arbitrary code via a long LDAP_OPTIONS environment variable to a privileged program that uses libsldap.,NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
CVE-2002-0419,30/10/2018 16:25,12/08/2002 04:00,5,200, Information Exposure,"Information leaks in IIS 4 through 5.1 allow remote attackers to obtain potentially sensitive information or more easily conduct brute force attacks via responses from the server in which (2) in certain configurations, the server IP address is provided as the realm for Basic authentication, which could reveal real IP addresses that were obscured by NAT, or (3) when NTLM authentication is used, the NetBIOS name of the server and its Windows NT domain are revealed in response to an Authorization request.  NOTE: this entry originally contained a vector (1) in which the server reveals whether it supports Basic or NTLM authentication through 401 Access Denied error messages.  CVE has REJECTED this vector; it is not a vulnerability because the information is already available through legitimate use, since authentication cannot proceed without specifying a scheme that is supported by both the client and the server.",NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2002-0422,30/10/2018 16:25,12/08/2002 04:00,2.6,200, Information Exposure,"IIS 5 and 5.1 supporting WebDAV methods allows remote attackers to determine the internal IP address of the system (which may be obscured by NAT) via (1) a PROPFIND HTTP request with a blank Host header, which leaks the address in an HREF property in a 207 Multi-Status response, or (2) via the WRITE or MKCOL method, which leaks the IP in the Location server header.",NONE,HIGH,NETWORK,NONE,PARTIAL,NONE
CVE-2002-1024,30/10/2018 16:25,04/10/2002 04:00,7.1,399, Resource Management Errors,"Cisco IOS 12.0 through 12.2, when supporting SSH, allows remote attackers to cause a denial of service (CPU consumption) via a large packet that was designed to exploit the SSH CRC32 attack detection overflow (CVE-2001-0144).",NONE,MEDIUM,NETWORK,COMPLETE,NONE,NONE
CVE-2002-1590,30/10/2018 16:25,29/10/2002 05:00,7.2,264, Permissions Privileges and Access Controls,"The Web-Based Enterprise Management (WBEM) packages (1) SUNWwbdoc, (2) SUNWwbcou, (3) SUNWwbdev and (4) SUNWmgapp packages, when installed using Solaris 8 Update 1/01 or later, install files with world or group write permissions, which allows local users to gain root privileges or cause a denial of service.",NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
CVE-2002-1700,30/10/2018 16:25,31/12/2002 05:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting vulnerability (XSS) in the missing template handler in Macromedia ColdFusion MX allows remote attackers to execute arbitrary script as other users by injecting script into the HTTP request for the name of a template, which is not filtered in the resulting 404 error message.",NONE,MEDIUM,NETWORK,NONE,NONE,PARTIAL
CVE-2002-2327,30/10/2018 16:25,31/12/2002 05:00,4.9,264, Permissions Privileges and Access Controls,"Unspecified vulnerability in the environmental monitoring subsystem in Solaris 8 running on Sun Fire 280R, V480 and V880 allows local users to cause a denial of service by setting volatile properties.",NONE,LOW,LOCAL,COMPLETE,NONE,NONE
CVE-2003-1081,30/10/2018 16:25,09/09/2003 04:00,10,264, Permissions Privileges and Access Controls,Aspppls for Solaris 8 allows local users to overwrite arbitrary files via a symlink attack on the .asppp.fifo temporary file.,NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2004-1019,30/10/2018 16:25,10/01/2005 05:00,10,20, Improper Input Validation,"The deserialization code in PHP before 4.3.10 and PHP 5.x up to 5.0.2 allows remote attackers to cause a denial of service and execute arbitrary code via untrusted data to the unserialize function that may trigger ""information disclosure, double-free and negative reference index array underflow"" results.",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2004-1354,30/10/2018 16:25,14/05/2004 04:00,5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The Solaris Management Console (SMC) in Sun Solaris 8 and 9 generates different 404 error messages when a file does not exist versus when a file exists but is otherwise inaccessible, which could allow remote attackers to obtain sensitive information in conjunction with a directory traversal (..) attack.",NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2005-2072,30/10/2018 16:25,29/06/2005 04:00,7.2,264, Permissions Privileges and Access Controls,"The runtime linker (ld.so) in Solaris 8, 9, and 10 trusts the LD_AUDIT environment variable in setuid or setgid programs, which allows local users to gain privileges by (1) modifying LD_AUDIT to reference malicious code and possibly (2) using a long value for LD_AUDIT.",NONE,LOW,LOCAL,COMPLETE,COMPLETE,COMPLETE
CVE-2005-3398,30/10/2018 16:25,01/11/2005 12:47,4.3,200, Information Exposure,"The default configuration of the web server for the Solaris Management Console (SMC) in Solaris 8, 9, and 10 enables the HTTP TRACE method, which could allow remote attackers to obtain sensitive information such as cookies and authentication data from HTTP headers.",NONE,MEDIUM,NETWORK,NONE,PARTIAL,NONE
CVE-2005-3653,19/10/2018 15:38,31/12/2005 05:00,10,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,"Heap-based buffer overflow in the iGateway service for various Computer Associates (CA) iTechnology products, in iTechnology iGateway before 4.0.051230, allows remote attackers to execute arbitrary code via an HTTP request with a negative Content-Length field.",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2005-3548,19/10/2018 15:37,16/11/2005 07:42,4,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"Directory traversal vulnerability in Task Manager in Invision Power Board (IP.Board) 2.0.1 allows limited remote attackers to include files via a ..  (dot dot) in the ""Task PHP File To Run"" field.",SINGLE,LOW,NETWORK,NONE,NONE,PARTIAL
CVE-2005-3624,19/10/2018 15:37,31/12/2005 05:00,5,189, Numeric Errors,"The CCITTFaxStream::CCITTFaxStream function in Stream.cc for xpdf, gpdf, kpdf, pdftohtml, poppler, teTeX, CUPS, libextractor, and others allows attackers to corrupt the heap via negative or large integers in a CCITTFaxDecode stream, which lead to integer overflows and integer underflows.",NONE,LOW,NETWORK,NONE,NONE,PARTIAL
CVE-2005-3625,19/10/2018 15:37,31/12/2005 05:00,10,399, Resource Management Errors,"Xpdf, as used in products such as gpdf, kpdf, pdftohtml, poppler, teTeX, CUPS, libextractor, and others, allows attackers to cause a denial of service (infinite loop) via streams that end prematurely, as demonstrated using the (1) CCITTFaxDecode and (2) DCTDecode streams, aka ""Infinite CPU spins.""",NONE,LOW,NETWORK,COMPLETE,COMPLETE,COMPLETE
CVE-2005-3626,19/10/2018 15:37,31/12/2005 05:00,5,399, Resource Management Errors,"Xpdf, as used in products such as gpdf, kpdf, pdftohtml, poppler, teTeX, CUPS, libextractor, and others, allows attackers to cause a denial of service (crash) via a crafted FlateDecode stream that triggers a null dereference.",NONE,LOW,NETWORK,PARTIAL,NONE,NONE
CVE-2005-3357,19/10/2018 15:36,31/12/2005 05:00,5.4,399, Resource Management Errors,"mod_ssl in Apache 2.0 up to 2.0.55, when configured with an SSL vhost with access control and a custom error 400 error page, allows remote attackers to cause a denial of service (application crash) via a non-SSL request to an SSL port, which triggers a NULL pointer dereference.",NONE,HIGH,NETWORK,COMPLETE,NONE,NONE
CVE-2005-3365,19/10/2018 15:36,30/10/2005 14:34,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"Multiple SQL injection vulnerabilities in DCP-Portal 6 and earlier allow remote attackers to execute arbitrary SQL commands, possibly requiring encoded characters, via (1) the name parameter in register.php, (2) the email parameter in lostpassword.php, (3) the year parameter in calendar.php, and the (4) cid parameter to index.php.  NOTE: the mid parameter for forums.php is already associated with CVE-2005-0454.  NOTE: the index.php/cid vector was later reported to affect 6.11.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3528,19/10/2018 15:36,20/11/2005 22:03,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site scripting (XSS) vulnerability in tiki-view_forum_thread.php in TikiWiki 1.9.0 through 1.9.2 allows remote attackers to inject arbitrary web script or HTML via the topics_offset parameter.,NONE,MEDIUM,NETWORK,NONE,NONE,PARTIAL
CVE-2005-3529,19/10/2018 15:36,20/11/2005 22:03,5,200, Information Exposure,"tiki-view_forum_thread.php in TikiWiki 1.9.0 through 1.9.2 allows remote attackers to obtain the installation path via an invalid topics_sort_mode parameter, possibly related to an SQL injection vulnerability.",NONE,LOW,NETWORK,NONE,PARTIAL,NONE
CVE-2005-3192,19/10/2018 15:35,08/12/2005 01:03,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,"Heap-based buffer overflow in the StreamPredictor function in Xpdf 3.01, as used in products such as (1) Poppler, (2) teTeX, (3) KDE kpdf, and (4) pdftohtml, (5) KOffice KWord, (6) CUPS, and (7) libextractor allows remote attackers to execute arbitrary code via a PDF file with an out-of-range numComps (number of components) field.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3193,19/10/2018 15:35,07/12/2005 00:03,5.1,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,"Heap-based buffer overflow in the JPXStream::readCodestream function in the JPX stream parsing code (JPXStream.c) for xpdf 3.01 and earlier, as used in products such as (1) Poppler, (2) teTeX, (3) KDE kpdf, (4) CUPS, and (5) libextractor allows user-assisted attackers to cause a denial of service (heap corruption) and possibly execute arbitrary code via a crafted PDF file with large size values that cause insufficient memory to be allocated.",NONE,HIGH,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3240,19/10/2018 15:35,31/12/2005 05:00,5.1,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"Race condition in Microsoft Internet Explorer allows user-assisted attackers to overwrite arbitrary files and possibly execute code by tricking a user into performing a drag-and-drop action from certain objects, such as file objects within a folder view, then predicting the drag action, and re-focusing to a malicious window.",NONE,HIGH,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3273,19/10/2018 15:35,21/10/2005 01:02,5,264, Permissions Privileges and Access Controls,"The rose_rt_ioctl function in rose_route.c for Radionet Open Source Environment (ROSE) in Linux 2.6 kernels before 2.6.12, and 2.4 before 2.4.29, does not properly verify the ndigis argument for a new route, which allows attackers to trigger array out-of-bounds errors with a large number of digipeats.",NONE,LOW,NETWORK,NONE,NONE,PARTIAL
CVE-2005-2929,19/10/2018 15:34,18/11/2005 06:03,7.5,264, Permissions Privileges and Access Controls,"Lynx 2.8.5, and other versions before 2.8.6dev.15, allows remote attackers to execute arbitrary commands via (1) lynxcgi:, (2) lynxexec, and (3) lynxprog links, which are not properly restricted in the default configuration in some environments.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-2975,19/10/2018 15:34,18/11/2005 06:03,7.8,399, Resource Management Errors,io-xpm.c in the gdk-pixbuf XPM image rendering library in GTK+ before 2.8.7 allows attackers to cause a denial of service (infinite loop) via a crafted XPM image with a large number of colors.,NONE,LOW,NETWORK,COMPLETE,NONE,NONE
CVE-2005-2976,19/10/2018 15:34,18/11/2005 06:03,7.5,189, Numeric Errors,"Integer overflow in io-xpm.c in gdk-pixbuf 0.22.0 in GTK+ before 2.8.7 allows attackers to cause a denial of service (crash) or execute arbitrary code via an XPM file with large height, width, and colour values, a different vulnerability than CVE-2005-3186.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3011,19/10/2018 15:34,21/09/2005 20:03,1.2,59, Improper Link Resolution Before File Access ('Link Following'),The sort_offline function for texindex in texinfo 4.8 and earlier allows local users to overwrite arbitrary files via a symlink attack on temporary files.,NONE,HIGH,LOCAL,NONE,NONE,PARTIAL
CVE-2005-3055,19/10/2018 15:34,26/09/2005 19:03,2.1,20, Improper Input Validation,"Linux kernel 2.6.8 to 2.6.14-rc2 allows local users to cause a denial of service (kernel OOPS) via a userspace process that issues a USB Request Block (URB) to a USB device and terminates before the URB is finished, which leads to a stale pointer reference.",NONE,LOW,LOCAL,PARTIAL,NONE,NONE
CVE-2005-3058,19/10/2018 15:34,31/12/2005 05:00,7.5,264, Permissions Privileges and Access Controls,"Interpretation conflict in Fortinet FortiGate 2.8, running FortiOS 2.8MR10 and v3beta, allows remote attackers to bypass the URL blocker via an (1) HTTP request terminated with a line feed (LF) and not carriage return line feed (CRLF) or (2) HTTP request with no Host field, which is still processed by most web servers without violating RFC2616.",NONE,LOW,NETWORK,PARTIAL,PARTIAL,PARTIAL
CVE-2005-3109,19/10/2018 15:34,30/09/2005 10:05,2.1,399, Resource Management Errors,The HFS and HFS+ (hfsplus) modules in Linux 2.6 allow attackers to cause a denial of service (oops) by using hfsplus to mount a filesystem that is not hfsplus.,NONE,LOW,LOCAL,PARTIAL,NONE,NONE
CVE-2005-3181,19/10/2018 15:34,12/10/2005 13:04,2.1,399, Resource Management Errors,"The audit system in Linux kernel 2.6.6, and other versions before 2.6.13.4, when CONFIG_AUDITSYSCALL is enabled, uses an incorrect function to free names_cache memory, which prevents the memory from being tracked by AUDITSYSCALL code and leads to a memory leak that allows attackers to cause a denial of service (memory consumption).",NONE,LOW,LOCAL,PARTIAL,NONE,NONE
CVE-2005-3191,19/10/2018 15:34,07/12/2005 01:03,5.1,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,"Multiple heap-based buffer overflows in the (1) DCTStream::readProgressiveSOF and (2) DCTStream::readBaselineSOF functions in the DCT stream parsing code (Stream.cc) in xpdf 3.01 and earlier, as used in products such as (a) Poppler, (b) teTeX, (c) KDE kpdf, (d) pdftohtml, (e) KOffice KWord, (f) CUPS, and (g) libextractor allow user-assisted attackers to cause a denial of service (heap corruption) and possibly execute arbitrary code via a crafted PDF file with an out-of-range number of components (numComps), which is used as an array index.",NONE,HIGH,NETWORK,PARTIAL,PARTIAL,PARTIAL
